ticker,fold,config,feat_set,n_features,horizon,n_train,n_test,eff_test,rmse_ret,rmse_rw,rmse_ratio,dir_acc,dir_baseline,dir_edge
NVDA,4,ext_h5,ext,29,5,640,96,19.2,0.0865052504958219,0.07171531178784947,1.2062312543759763,0.4270833333333333,0.53125,-0.10416666666666669
NVDA,0,ext_h20,ext,29,20,225,100,5.0,0.41063005798054936,0.23783903916791485,1.726504023129036,0.02,0.98,-0.96
NVDA,1,ext_h20,ext,29,20,325,100,5.0,0.107277894404141,0.07585901667721891,1.4141745978676445,0.49,0.66,-0.17000000000000004
NVDA,2,ext_h20,ext,29,20,425,100,5.0,0.10156233696103949,0.19714544493997807,0.5151645121294112,0.86,0.86,0.0
NVDA,3,ext_h20,ext,29,20,525,100,5.0,0.18066142339085664,0.18204002919210416,0.9924269084807018,0.64,0.64,0.0
NVDA,4,ext_h20,ext,29,20,625,81,4.0,0.18711117563380966,0.10287313011750694,1.8188537222507153,0.35802469135802467,0.6172839506172839,-0.25925925925925924
JPM,0,base_h1,base,18,1,444,100,100.0,0.018937610475230845,0.016787838476648033,1.1280553182336819,0.47,0.53,-0.06000000000000005
JPM,1,base_h1,base,18,1,544,100,100.0,0.01279939656959771,0.0099157832614974,1.2908104415005992,0.48,0.53,-0.050000000000000044
JPM,2,base_h1,base,18,1,644,100,100.0,0.012109940202902673,0.009125187030784727,1.3270895338417266,0.41,0.66,-0.25000000000000006
JPM,3,base_h1,base,18,1,744,100,100.0,0.015985010690337927,0.014798673447263174,1.0801651071835867,0.47,0.55,-0.08000000000000007
JPM,4,base_h1,base,18,1,844,100,100.0,0.017782639509135986,0.017338419439769617,1.0256205631032,0.58,0.58,0.0
JPM,0,ext_h1,ext,29,1,244,100,100.0,0.02642774140762459,0.016787838476648033,1.5742194234466642,0.48,0.53,-0.050000000000000044
JPM,1,ext_h1,ext,29,1,344,100,100.0,0.014192630954203539,0.0099157832614974,1.431317181902611,0.5,0.53,-0.030000000000000027
JPM,2,ext_h1,ext,29,1,444,100,100.0,0.014760907215000162,0.009125187030784727,1.6176005122089852,0.34,0.66,-0.32
JPM,3,ext_h1,ext,29,1,544,100,100.0,0.016066423851895262,0.014798673447263174,1.0856664895775872,0.46,0.55,-0.09000000000000002
JPM,4,ext_h1,ext,29,1,644,100,100.0,0.017509828908494868,0.017338419439769617,1.0098861069384493,0.44,0.58,-0.13999999999999996
JPM,0,ext_h5,ext,29,5,240,100,20.0,0.0654373390577455,0.03324607144617707,1.9682728277740638,0.5,0.52,-0.020000000000000018
JPM,1,ext_h5,ext,29,5,340,100,20.0,0.04102046995580355,0.024769088290808972,1.6561154562570215,0.48,0.51,-0.030000000000000027
JPM,2,ext_h5,ext,29,5,440,100,20.0,0.04783931237928009,0.025040463829323914,1.9104802812501152,0.1,0.88,-0.78
JPM,3,ext_h5,ext,29,5,540,100,20.0,0.03908672356561941,0.03360155661915064,1.1632414536219013,0.39,0.59,-0.19999999999999996
JPM,4,ext_h5,ext,29,5,640,96,19.2,0.034695692273055356,0.03262437237901467,1.0634899537676024,0.53125,0.6041666666666666,-0.07291666666666663
JPM,0,ext_h20,ext,29,20,225,100,5.0,0.10016096430011553,0.05975860794110092,1.6760926626476282,0.42,0.61,-0.19
JPM,1,ext_h20,ext,29,20,325,100,5.0,0.07016047019142446,0.05409021754674993,1.2971009061071919,0.54,0.45,0.09000000000000002
JPM,2,ext_h20,ext,29,20,425,100,5.0,0.12671982920893793,0.07357320026497462,1.7223639688440247,0.01,0.99,-0.98
JPM,3,ext_h20,ext,29,20,525,100,5.0,0.05948758958631373,0.053468279404370246,1.1125772186611917,0.55,0.66,-0.10999999999999999
JPM,4,ext_h20,ext,29,20,625,81,4.0,0.0671130564187365,0.06640121261942568,1.0107203433676837,0.6172839506172839,0.6049382716049383,0.012345679012345623
XOM,0,base_h1,base,18,1,444,100,100.0,0.020601521348426372,0.01776740525697907,1.1595120981626765,0.44,0.48,-0.03999999999999998
XOM,1,base_h1,base,18,1,544,100,100.0,0.016511784573869693,0.015077947281677632,1.0950949930654306,0.58,0.57,0.010000000000000009
XOM,2,base_h1,base,18,1,644,100,100.0,0.01633461086426716,0.01193826045805792,1.3682572031038118,0.47474747474747475,0.47474747474747475,0.0
XOM,3,base_h1,base,18,1,744,100,100.0,0.013119219763170854,0.011492378272844817,1.1415582964380906,0.43434343434343436,0.5252525252525253,-0.09090909090909094
XOM,4,base_h1,base,18,1,844,100,100.0,0.013226501396511494,0.01269780925959417,1.041636484381576,0.61,0.47,0.14
XOM,0,ext_h1,ext,29,1,244,100,100.0,0.02131567972397815,0.01776740525697907,1.1997069586514502,0.46,0.48,-0.019999999999999962
XOM,1,ext_h1,ext,29,1,344,100,100.0,0.015616902703523108,0.015077947281677632,1.035744615084336,0.57,0.57,0.0
XOM,2,ext_h1,ext,29,1,444,100,100.0,0.016496599296008725,0.01193826045805792,1.3818260502830695,0.42424242424242425,0.47474747474747475,-0.0505050505050505
XOM,3,ext_h1,ext,29,1,544,100,100.0,0.012981721369083888,0.011492378272844817,1.1295939848898133,0.48484848484848486,0.5252525252525253,-0.04040404040404044
XOM,4,ext_h1,ext,29,1,644,100,100.0,0.01452073228606881,0.01269780925959417,1.1435620105174664,0.48,0.47,0.010000000000000009
XOM,0,ext_h5,ext,29,5,240,100,20.0,0.06453153567932397,0.037871336713591365,1.7039677307235033,0.56,0.52,0.040000000000000036
XOM,1,ext_h5,ext,29,5,340,100,20.0,0.034901784376519335,0.03200174992188558,1.0906211210859584,0.57,0.54,0.029999999999999916
XOM,2,ext_h5,ext,29,5,440,100,20.0,0.04184121456140473,0.02635645144564246,1.587513199479757,0.52,0.57,-0.04999999999999993
